h  k  l  I  sigma(I)  peak  background  fs/px  ss/px  panel
-18 -22 25 -3.41 139.32 142.0 95.21 271.5 1159.5 q0a13 
-18 -2 3 1353.38 483.68 439.0 164.62 726.5 531.3 q1a5 
-18 2 0 -100.56 367.11 350.0 149.56 758.4 466.4 q1a5 
-18 26 -12 -184.23 175.71 208.0 79.03 506.3 1222.2 q1a12 
-18 30 -13 331.51 146.53 231.0 71.89 533.3 1155.0 q1a12 
-17 -19 20 157.0 295.28 412.0 116.0 328.0 1231.7 q0a13 
-17 7 -4 525.51 216.65 369.0 175.89 754.8 22.1 q1a1 
-16 -12 11 1266.48 436.26 477.0 174.72 706.2 695.7 q1a7 
-16 -10 9 1389.96 486.21 464.0 182.84 724.0 660.7 q1a7 
-16 -8 7 873.86 493.52 591.0 185.74 741.8 625.9 q1a7 
-16 6 -4 560.58 225.27 334.0 189.82 726.5 46.5 q1a1 
-16 20 -11 26.44 198.8 232.0 128.56 528.7 1322.6 q1a14 
-16 26 -13 175.14 201.35 201.0 81.26 569.9 1254.4 q1a12 
-15 -3 2 409.13 378.78 464.0 200.67 574.4 9.5 q1a0 
-15 1 -1 -660.85 336.42 416.0 212.65 635.1 40.0 q1a1 
-14 -30 35 3.93 113.76 159.0 88.67 50.7 1199.7 q0a12 
-14 26 -14 -13.81 165.97 234.0 92.81 628.7 1285.7 q1a13 
-14 30 -15 -31.85 99.56 119.0 78.65 656.8 1221.5 q1a13 
-14 36 -16 144.59 103.05 114.0 74.21 699.8 1121.7 q1a13 
-13 -37 49 -334.09 160.49 153.0 73.29 26.5 887.6 q0a8 
-13 9 -7 82.28 633.23 563.0 270.52 733.6 158.2 q1a1 
-13 17 -11 168.16 229.03 438.0 175.04 595.1 1412.7 q1a15 
-13 29 -15 264.56 126.07 157.0 85.44 679.6 1253.8 q1a13 
-12 -36 46 57.34 105.48 121.0 73.46 85.3 856.9 q0a8 
-12 -30 34 10.61 141.51 174.0 93.99 34.3 1270.0 q0a12 
-12 -18 16 32.17 271.88 347.0 209.43 300.0 1379.6 q0a15 
-12 14 -10 -1600.6 634.77 528.0 247.4 603.1 1471.9 q1a15 
-12 24 -14 180.79 216.44 216.0 145.41 673.8 1320.2 q1a15 
-12 32 -16 115.45 246.5 307.0 89.95 731.1 1221.6 q1a13 
-11 -39 53 127.39 112.21 106.0 57.01 62.2 953.4 q0a10 
-11 -37 48 169.43 109.49 167.0 73.17 102.7 901.9 q0a8 
-11 -19 17 95.59 359.42 484.0 213.21 269.5 1400.3 q0a15 
-11 -13 10 855.41 727.34 629.0 319.75 380.4 1455.2 q0a15 
-11 -9 6 852.81 255.98 400.0 191.19 428.7 80.9 q1a0 
-11 -1 -1 -528.01 271.53 299.0 158.61 558.2 143.4 q1a0 
-11 31 -16 629.15 378.4 400.0 104.65 753.1 1253.9 q1a13 
-10 -32 37 475.18 133.02 168.0 77.42 216.9 750.1 q0a9 
-10 -28 30 83.31 183.49 187.0 124.69 65.1 1333.4 q0a14 
-10 -6 3 1269.84 215.47 832.0 153.96 466.3 133.5 q1a0 
-10 6 -6 1360.0 252.57 499.0 107.0 649.4 194.9 q1a3 
-10 20 -13 -833.92 490.58 504.0 220.32 702.4 1410.6 q1a15 
-10 26 -15 -107.65 312.89 428.0 166.85 745.6 1320.1 q1a15 
-10 36 -17 121.14 280.62 259.0 94.26 949.4 715.9 q2a6 
-9 -35 43 161.4 143.47 167.0 75.4 204.4 852.7 q0a9 
-9 -33 39 -210.62 126.27 144.0 80.62 234.2 792.1 q0a9 
-9 -25 25 389.96 391.71 446.0 175.84 124.8 1399.0 q0a14 
-9 -23 22 -1016.55 577.27 493.0 221.95 168.8 1420.4 q0a14 
-9 -5 2 1010.98 178.98 1051.0 136.22 469.9 169.3 q1a0 
-9 11 -9 928.6 333.77 453.0 130.6 710.0 258.5 q1a3 
-9 13 -10 878.73 538.01 409.0 189.47 739.4 272.8 q1a3 
-9 15 -11 -145.11 613.2 530.0 227.7 768.9 287.2 q1a3 
-9 35 -17 68.96 236.11 298.0 105.84 979.3 694.7 q2a7 
-8 -34 41 74.61 132.24 244.0 79.99 251.6 834.6 q0a9 
-8 -32 37 126.12 124.34 134.0 78.88 280.1 775.1 q0a9 
-8 -16 13 -785.1 665.26 514.0 241.9 364.8 271.0 q0a3 
-8 0 -2 274.38 214.92 226.0 71.62 535.1 205.7 q1a2 
-7 -35 43 139.61 104.57 116.0 76.99 269.2 877.5 q0a9 
-7 -33 39 -144.75 136.87 179.0 79.75 297.5 816.9 q0a9 
-7 -31 35 68.95 142.9 190.0 88.45 324.8 758.6 q0a9 
-7 -25 25 43.06 408.86 456.0 189.94 100.0 1458.2 q0a14 
-7 -5 2 4856.4 251.2 2586.0 62.4 444.4 195.2 q1a2 
-7 11 -9 511.96 176.44 388.0 103.84 681.9 312.8 q1a3 
-7 13 -10 325.59 246.42 292.0 120.21 710.9 327.2 q1a3 
-7 15 -11 4115.71 435.87 2623.0 148.09 740.2 341.6 q1a3 
-7 35 -17 89.31 181.64 222.0 111.69 1012.3 637.7 q2a7 
-6 -34 41 -116.46 179.12 254.0 82.66 315.2 859.2 q0a9 
-6 -32 37 -321.26 310.21 359.0 93.86 342.3 799.8 q0a9 
-6 -28 30 -244.24 285.85 284.0 159.64 15.8 1454.5 q0a14 
-6 -6 3 513.73 147.79 272.0 65.47 415.0 214.4 q1a2 
-6 0 -2 1312.18 191.16 542.0 69.42 508.6 259.7 q1a2 
-6 6 -6 341.16 267.72 190.0 67.68 594.6 303.4 q1a3 
-6 20 -13 220.23 415.02 446.0 212.97 792.5 61.1 q2a0 
-6 30 -16 356.86 420.44 496.0 152.74 1105.6 649.0 q2a7 
-6 36 -17 -263.09 165.32 184.0 110.29 1013.0 601.4 q2a7 
-5 -39 53 35.11 84.58 116.0 61.49 266.7 1027.9 q0a11 
-5 -37 48 69.59 87.92 101.0 60.21 301.0 949.1 q0a11 
-5 -13 10 6914.2 296.26 2355.0 104.2 257.0 284.5 q0a3 
-5 -1 -1 1523.34 171.51 1181.0 61.46 479.2 278.7 q1a2 
-5 3 -4 -84.48 192.06 226.0 70.28 539.7 308.2 q1a2 
-5 23 -14 -1138.9 364.78 388.0 224.1 841.6 32.0 q2a0 
-5 31 -16 -66.7 380.14 415.0 150.3 1106.5 613.6 q2a7 
-5 37 -17 -1.38 148.71 183.0 106.38 1013.8 564.9 q2a7 
-4 -38 51 -6.66 87.76 140.0 62.46 314.9 1006.2 q0a11 
-4 -24 24 5.94 422.32 520.0 219.06 325.7 86.4 q0a1 
-4 -2 0 853.62 162.47 406.0 62.38 449.8 297.5 q1a2 
-4 2 -3 1985.59 200.54 1320.0 71.21 510.3 327.0 q1a2 
-4 16 -11 189.21 178.77 219.0 144.59 817.0 148.5 q2a0 
-4 24 -14 -929.33 597.22 629.0 254.93 876.0 32.9 q2a0 
-4 32 -16 439.65 342.35 341.0 143.15 1107.4 578.1 q2a7 
-4 50 -17 -230.35 121.48 126.0 70.15 816.5 444.1 q2a4 
-3 -37 49 -215.46 174.51 160.0 64.66 361.6 985.1 q0a11 
-3 -25 26 172.15 343.39 522.0 201.65 308.0 48.2 q0a1 
-3 -23 23 -451.52 429.24 468.0 237.72 288.9 92.4 q0a1 
-3 -3 1 -139.9 151.3 130.0 65.1 420.6 316.3 q1a2 
-3 1 -2 971.76 151.85 1053.0 67.64 480.9 345.7 q1a2 
-3 19 -12 292.64 205.17 285.0 156.76 865.5 120.3 q2a0 
-3 43 -17 -79.4 181.11 197.0 80.6 954.2 482.9 q2a4 
-3 45 -17 46.93 168.13 217.0 75.67 921.1 464.0 q2a4 
-3 47 -17 -161.14 145.37 145.0 74.74 887.3 444.7 q2a4 
-2 -26 28 43.09 226.22 235.0 173.71 290.1 9.5 q0a1 
-2 -24 25 -168.96 408.37 537.0 210.16 271.1 54.4 q0a1 
-2 -22 22 -0.12 564.2 545.0 248.12 252.6 98.3 q0a1 
-2 -6 4 174.6 152.7 255.0 82.6 126.1 357.9 q0a2 
-2 6 -5 298.0 177.79 200.0 77.0 797.0 293.3 q2a2 
-2 20 -12 243.84 219.62 268.0 168.96 899.5 121.3 q2a0 
-2 26 -14 -122.15 663.46 534.0 259.35 945.2 34.7 q2a0 
-1 -25 27 667.73 267.42 310.0 176.47 253.2 16.0 q0a1 
-1 -23 24 -1251.17 438.0 512.0 235.57 234.7 60.6 q0a1 
-1 5 -4 1320.6 216.85 503.0 81.6 815.6 322.7 q2a2 
-1 21 -12 -561.88 329.36 409.0 180.88 933.5 122.4 q2a0 
-1 39 -16 -214.0 126.61 198.0 100.0 1049.7 462.9 q2a5 
0 -38 54 -152.31 124.02 140.0 70.31 18.8 384.4 q0a4 
0 -36 49 -44.55 103.91 106.0 69.95 98.7 414.1 q0a4 
0 -32 40 -38.96 138.49 199.0 95.1 232.6 466.3 q0a5 
0 -14 13 -56.16 121.04 154.0 87.23 136.0 192.7 q0a2 
0 -6 5 727.88 142.88 629.0 82.12 74.5 327.0 q0a2 
0 34 -15 -1004.79 590.96 479.0 170.59 1142.6 479.8 q2a5 
1 -33 43 119.96 254.46 294.0 77.84 182.3 482.0 q0a4 
1 -31 39 -20.98 183.31 267.0 99.78 240.0 505.1 q0a5 
1 -3 3 1618.5 1205.44 2219.0 556.5 26.5 358.3 q0a2 
1 5 -3 1300.86 224.49 1009.0 95.74 867.1 353.6 q2a2 
1 27 -13 5733.76 382.66 2319.0 220.64 1031.0 67.8 q2a1 
1 31 -14 -373.45 250.21 283.0 193.05 1064.0 9.6 q2a1 
1 51 -15 -47.9 126.04 278.0 62.1 1109.0 995.9 q2a11 
2 -36 51 -188.06 119.71 125.0 71.06 50.1 471.3 q0a4 
2 -30 38 47.64 131.12 156.0 94.76 247.4 543.5 q0a5 
2 -20 22 -839.97 690.41 609.0 262.77 131.9 70.5 q0a0 
2 6 -3 1419.61 206.56 874.0 81.99 900.2 355.2 q2a2 
3 -35 50 -313.59 152.67 184.0 74.79 59.0 512.2 q0a4 
3 -11 12 737.1 156.89 664.0 77.1 35.1 193.4 q0a2 
3 7 -3 -480.57 280.61 277.0 82.17 933.4 356.8 q2a2 
3 41 -14 38.06 200.02 186.0 86.94 1154.4 823.4 q2a9 
4 -26 33 -71.68 202.21 303.0 124.08 310.4 609.3 q0a7 
4 -18 21 7.19 229.88 345.0 204.81 62.7 74.3 q0a0 
4 -4 6 9164.74 360.69 5660.0 79.86 1321.4 342.6 q3a2 
4 10 -4 1235.45 223.88 741.0 99.95 978.8 330.6 q2a3 
4 18 -8 688.61 198.36 244.0 106.99 1040.3 217.0 q2a3 
4 52 -13 -63.97 105.47 124.0 59.77 1004.8 957.5 q2a11 
4 58 -12 -165.84 134.35 97.0 50.04 930.8 1066.4 q2a10 
5 -33 48 225.9 144.15 122.0 63.9 77.4 565.8 q0a6 
5 -27 36 128.62 135.17 252.0 110.38 259.9 626.9 q0a7 
5 -3 6 3072.98 257.48 1852.0 82.22 1323.3 309.3 q3a2 
5 35 -12 160.56 282.18 310.0 153.44 790.1 1443.8 q2a14 
5 59 -11 -2.65 64.65 85.0 49.85 883.4 1066.0 q2a10 
6 -30 43 -289.15 172.23 196.0 86.59 149.9 625.5 q0a6 
6 -22 29 430.66 491.35 423.0 171.54 361.0 698.1 q0a7 
6 2 3 678.62 133.87 659.0 81.38 1264.5 246.3 q3a2 
6 34 -11 -534.45 254.04 241.0 158.05 822.5 1424.5 q2a14 
6 60 -10 39.18 84.92 102.0 49.42 835.0 1065.5 q2a10 
7 -31 47 151.94 98.78 129.0 72.06 83.0 642.9 q0a6 
7 -23 32 -563.49 318.95 303.0 142.89 311.9 716.6 q0a7 
7 13 -3 565.89 217.79 380.0 118.51 1081.1 340.3 q2a3 
7 15 -4 -222.36 326.9 348.0 138.76 1096.9 311.9 q2a3 
7 17 -5 961.06 438.87 390.0 170.94 1112.7 283.3 q2a3 
7 33 -10 -41.33 211.72 265.0 152.93 854.8 1405.3 q2a14 
7 43 -11 74.91 104.4 122.0 76.29 1015.2 782.0 q2a9 
7 45 -11 -111.6 134.72 180.0 78.4 992.9 813.2 q2a9 
8 -32 51 76.0 125.53 138.0 72.0 13.2 661.1 q0a6 
8 -10 16 942.59 482.91 471.0 172.21 1496.8 282.6 q3a3 
8 -8 14 -356.24 295.9 327.0 132.64 1462.2 267.7 q3a3 
8 -6 12 433.25 162.05 199.0 107.75 1427.8 252.8 q3a3 
8 -4 10 -19.3 149.48 207.0 108.7 1393.7 238.1 q3a3 
8 2 5 74.14 150.58 223.0 91.26 1301.7 193.6 q3a2 
8 42 -10 38.48 111.01 121.0 75.95 995.5 747.8 q2a9 
8 46 -10 240.93 160.09 180.0 71.67 953.0 810.0 q2a8 
8 56 -9 26.96 95.55 84.0 51.84 824.2 951.3 q2a10 
9 -23 35 40.78 335.88 368.0 112.03 1539.1 1273.5 q3a13 
9 -17 26 -183.21 430.03 464.0 202.41 1491.9 1386.4 q3a15 
9 5 4 1078.14 198.71 851.0 150.26 1275.4 172.8 q3a0 
9 15 -2 -364.56 728.89 483.0 259.56 1151.2 348.6 q2a3 
9 25 -6 -1440.04 699.6 648.0 232.84 1002.7 1420.7 q2a15 
9 33 -8 329.29 229.56 259.0 141.91 891.6 1346.7 q2a14 
9 45 -9 -194.88 161.68 149.0 75.88 933.0 775.1 q2a8 
9 47 -9 -247.21 127.2 121.0 75.41 909.2 806.8 q2a8 
10 -22 35 189.45 313.23 349.0 107.95 1503.0 1270.7 q3a13 
10 -16 26 -24.53 256.04 390.0 183.58 1456.8 1383.9 q3a15 
10 -12 21 1831.23 429.48 516.0 219.97 1426.9 1464.5 q3a15 
10 4 6 -80.42 214.07 296.0 161.82 1311.0 152.9 q3a0 
10 10 2 246.66 224.38 253.0 167.54 1221.0 107.3 q3a0 
10 20 -3 749.54 643.5 588.0 272.66 1092.7 1435.3 q2a15 
10 34 -7 -264.5 213.31 248.0 139.5 896.4 1306.6 q2a14 
11 -3 13 -139.35 257.49 374.0 206.72 1440.8 177.2 q3a1 
11 3 8 1882.56 392.95 1179.0 185.44 1347.0 132.8 q3a0 
11 23 -3 -93.35 321.57 472.0 203.15 1069.5 1380.6 q2a15 
12 -22 39 -305.64 120.04 138.0 84.24 1445.2 1205.1 q3a13 
12 0 12 -577.12 439.06 501.0 243.12 1415.0 126.8 q3a1 
12 8 6 612.06 667.41 572.0 278.94 1292.7 66.2 q3a0 
12 24 -2 22.41 272.88 361.0 195.79 1075.8 1341.8 q2a15 
13 -23 43 119.31 121.0 119.0 72.69 1422.7 1139.7 q3a13 
13 -19 36 276.23 151.41 249.0 86.97 1393.0 1251.9 q3a13 
13 3 11 513.78 578.22 591.0 261.02 1389.1 75.9 q3a1 
13 7 8 331.89 725.37 577.0 305.51 1329.0 45.4 q3a0 
13 25 -1 -654.58 223.92 250.0 176.11 1082.1 1302.4 q2a15 
13 41 -4 518.18 128.41 148.0 82.42 852.6 1162.2 q2a12 
13 43 -4 52.88 132.81 137.0 81.12 822.5 1137.6 q2a12 
14 -12 28 666.89 235.58 278.0 151.51 1315.5 1355.4 q3a14 
14 -4 19 -277.73 361.9 376.0 206.71 1533.0 98.1 q3a1 
14 -2 17 9.77 322.88 452.0 214.03 1497.1 83.7 q3a1 
14 8 9 -525.68 593.22 541.0 247.18 1337.4 7.9 q3a0 
14 30 -1 -252.34 210.0 292.0 106.54 1031.7 1249.7 q2a13 
14 36 -2 362.1 258.41 396.0 88.1 948.4 1185.4 q2a12 
15 -21 44 -358.39 157.84 138.0 77.99 1348.4 1121.6 q3a12 
15 -7 24 -182.36 329.85 379.0 153.76 1249.4 1426.9 q3a14 
15 1 16 92.74 228.94 289.0 189.86 1471.1 31.7 q3a1 
15 25 2 123.11 389.28 403.0 128.49 1125.4 1266.7 q2a13 
15 33 0 -103.31 123.34 133.0 90.31 1010.8 1184.7 q2a13 
16 -14 35 -85.14 135.46 148.0 80.96 1267.6 1271.7 q3a12 
16 -6 25 -3.24 240.53 267.0 143.64 1211.1 1415.5 q3a14 
17 -15 39 -18.8 87.78 102.0 73.87 1241.5 1207.7 q3a12 
17 -13 36 60.36 94.24 127.0 76.24 1228.0 1258.3 q3a12 
17 -5 26 266.94 203.87 247.0 138.06 1172.2 1403.9 q3a14 
17 7 15 894.74 349.67 374.0 154.86 1504.4 503.7 q3a5 
17 13 11 -109.33 223.84 282.0 137.93 1455.0 569.5 q3a7 
17 15 10 -23.79 224.79 238.0 140.59 1437.2 598.9 q3a7 
17 21 7 450.89 242.71 292.0 133.51 1382.9 688.4 q3a7 
18 -2 25 -269.66 286.27 312.0 106.46 1529.0 758.1 q3a9 
18 10 15 75.99 202.75 272.0 124.61 1446.5 522.7 q3a5 
19 13 15 420.88 182.16 255.0 113.12 1387.1 542.1 q3a5 
19 23 10 -203.6 184.07 198.0 105.4 1296.8 665.8 q3a6 
20 -12 43 -22.75 109.8 114.0 68.75 1225.9 760.0 q3a8 
20 -10 40 231.07 94.46 139.0 72.33 1279.0 772.8 q3a8 
20 -2 30 -35.1 101.94 136.0 84.9 1456.9 828.0 q3a9 
20 2 26 91.8 291.14 270.0 95.8 1534.3 858.0 q3a9 
20 26 11 160.54 152.78 156.0 93.66 1228.0 682.3 q3a6 
21 7 24 8.9 130.5 180.0 102.41 1365.7 377.8 q3a5 
21 11 21 126.8 292.16 304.0 97.8 1334.6 446.0 q3a4 
22 -4 38 409.73 236.01 255.0 73.47 1331.5 890.9 q3a8 
24 -4 45 -117.57 93.96 113.0 58.17 1222.9 953.2 q3a10 
24 10 30 -190.68 203.76 224.0 74.08 1526.8 1055.6 q3a11 
24 14 27 267.48 131.11 145.0 83.72 1183.8 384.9 q3a4 
25 1 42 -89.32 144.02 142.0 67.92 1294.0 1032.5 q3a10 
25 9 34 188.34 90.75 169.0 71.46 1461.9 1093.9 q3a11 
-13 -41 -18 30.92 83.29 83.0 47.55 807.9 612.0 q2a6 
-13 -39 -22 45.43 99.45 96.0 48.46 818.1 672.2 q2a6 
-13 -37 -26 -151.99 99.23 99.0 49.35 828.2 731.9 q2a6 
-12 -46 -3 120.72 93.25 92.0 43.43 824.5 428.0 q2a4 
-12 -36 -14 167.7 107.46 117.0 49.11 926.2 608.4 q2a6 
-12 -34 -17 162.58 145.47 110.0 53.27 941.1 655.9 q2a6 
-12 -32 -22 165.53 153.55 151.0 51.4 944.9 724.2 q2a6 
-12 -30 -28 57.78 94.63 160.0 54.66 732.4 1183.8 q1a13 
-12 -28 -45 -22.65 77.45 81.0 47.12 528.1 1120.3 q1a12 
-12 -28 -44 -2.82 84.38 88.0 47.22 540.1 1126.1 q1a12 
-12 -28 -43 40.41 87.07 97.0 48.15 552.0 1131.9 q1a12 
-12 -28 -42 -59.04 102.33 100.0 46.12 563.8 1137.6 q1a12 
-11 -51 7 -63.39 91.0 89.0 40.62 1087.9 1076.5 q2a11 
-11 -49 6 182.23 96.79 88.0 36.08 1121.6 1047.2 q2a11 
-11 -47 5 -181.91 109.03 77.0 39.04 1154.4 1018.7 q2a11 
-11 -41 1 -53.97 111.3 139.0 48.9 943.6 432.4 q2a4 
-11 -37 -3 -48.24 141.81 168.0 60.66 980.6 510.8 q2a5 
-11 -33 -8 247.35 139.89 148.0 69.32 1014.7 568.5 q2a7 
-11 -25 -59 96.59 92.43 84.0 40.64 398.5 763.9 q1a8 
-11 -25 -27 99.8 185.66 197.0 63.37 710.4 1278.0 q1a13 
-10 -40 7 -155.25 98.54 96.0 58.25 1002.9 377.2 q2a5 
-10 -34 1 203.75 107.79 160.0 64.74 1060.0 494.2 q2a5 
-10 -28 -7 -0.38 204.27 214.0 91.03 1105.3 596.2 q2a7 
-10 -26 -11 -63.21 247.82 309.0 94.13 1113.5 651.6 q2a7 
-10 -22 -65 45.66 74.51 77.0 42.54 426.4 862.1 q1a8 
-10 -20 -56 65.59 78.04 94.0 44.21 512.7 752.1 q1a8 
-10 -20 -31 -316.43 136.29 136.0 90.48 635.9 1316.4 q1a15 
-10 -20 -30 448.9 174.17 163.0 84.47 646.8 1321.2 q1a15 
-9 -55 19 -11.26 63.93 63.0 32.86 897.0 1047.7 q2a10 
-9 -29 2 161.96 355.4 299.0 92.12 1149.2 524.8 q2a5 
-9 -21 -74 -145.6 87.58 83.0 33.4 400.8 973.7 q1a10 
-9 -19 -18 361.8 319.03 369.0 136.8 765.9 1405.5 q1a15 
-9 -17 -61 255.6 120.64 99.0 47.6 546.5 834.1 q1a8 
-9 -17 -26 -193.29 252.25 311.0 113.35 670.5 1395.5 q1a15 
-8 -56 24 194.15 95.64 102.0 33.65 820.1 1020.7 q2a10 
-8 -40 18 109.15 79.96 101.0 52.41 1081.3 821.4 q2a9 
-8 -36 15 210.37 174.55 165.0 66.38 1152.8 779.4 q2a9 
-8 -28 7 -304.6 215.0 208.0 119.93 1060.7 7.6 q2a1 
-8 -22 -2 853.59 326.3 517.0 157.29 927.8 44.7 q2a0 
-8 -18 -76 50.79 60.52 52.0 32.41 455.7 1020.5 q1a10 
-8 -18 -10 296.51 231.19 264.0 131.81 820.4 60.3 q2a0 
-8 -16 -16 268.24 607.92 463.0 168.48 766.9 1468.1 q1a15 
-8 -14 -63 -36.15 95.36 89.0 47.62 594.3 877.9 q1a9 
-8 -14 -23 19.31 474.99 463.0 143.85 683.1 1463.0 q1a15 
-8 -12 -48 -153.16 145.08 167.0 79.84 400.1 1376.4 q1a14 
-8 -12 -38 -129.66 356.74 338.0 116.2 514.5 1422.6 q1a14 
-8 -12 -37 -46.96 243.26 226.0 103.77 525.5 1427.1 q1a14 
-8 -12 -36 -859.9 279.08 269.0 118.39 536.6 1431.5 q1a14 
-7 -47 26 242.66 106.14 85.0 46.54 913.6 869.0 q2a8 
-7 -39 22 67.96 106.27 101.0 57.78 1046.4 771.0 q2a9 
-7 -25 9 226.74 206.64 326.0 141.78 1058.1 70.9 q2a1 
-7 -17 -4 -49.22 131.67 164.0 108.13 873.7 113.9 q2a0 
-7 -15 -9 25.2 173.57 206.0 99.55 811.0 117.4 q2a0 
-7 -11 -64 -16.94 63.34 84.0 48.94 650.1 908.5 q1a9 
-7 -11 -22 -64.56 331.32 434.0 123.97 747.7 267.4 q1a3 
-7 -9 -51 -266.6 208.88 267.0 61.4 742.6 752.8 q1a9 
-6 -50 31 -13.12 101.07 95.0 47.12 812.7 873.0 q2a8 
-6 -44 29 30.64 197.14 274.0 49.76 913.3 791.3 q2a8 
-6 -42 28 -242.07 139.36 118.0 52.67 948.0 767.2 q2a8 
-6 -34 23 238.51 142.73 158.0 87.68 806.1 1372.9 q2a14 
-6 -24 13 -676.48 460.18 396.0 177.44 1091.7 117.0 q2a1 
-6 -10 -72 149.53 87.0 77.0 40.27 639.5 1001.6 q1a11 
-6 -10 -14 1150.0 159.98 817.0 66.0 686.7 341.5 q1a3 
-6 -8 -22 212.11 154.09 203.0 80.57 695.4 248.9 q1a3 
-6 -6 -39 501.1 219.57 238.0 130.14 739.7 84.5 q1a1 
-6 -6 -38 542.38 275.77 309.0 133.97 735.6 95.6 q1a1 
-6 -6 -37 1234.12 168.17 387.0 127.41 731.5 106.7 q1a1 
-5 -45 33 -30.21 87.26 78.0 46.82 850.9 768.4 q2a8 
-5 -29 23 207.29 209.24 218.0 107.32 887.2 1417.7 q2a14 
-5 -27 21 -15.13 244.75 392.0 121.33 903.1 1456.0 q2a14 
-5 -9 -78 71.53 74.3 72.0 40.27 639.0 1101.3 q1a11 
-5 -7 -15 -92.47 111.56 119.0 62.24 639.1 312.9 q1a3 
-5 -5 -24 340.87 156.72 144.0 66.31 651.2 210.1 q1a3 
-4 -30 28 -272.82 247.55 261.0 110.42 914.4 1353.8 q2a14 
-4 -18 15 635.64 164.1 149.0 76.27 1068.0 202.6 q2a3 
-4 -16 12 1367.26 153.68 650.0 65.4 1023.5 213.0 q2a3 
-4 -12 5 1952.51 211.8 772.0 51.97 929.9 230.0 q2a2 
-4 -10 1 1932.27 174.58 1127.0 53.55 877.6 236.5 q2a2 
-4 -8 -4 119.69 103.18 113.0 49.72 816.0 239.4 q2a2 
-4 -2 -60 -89.37 83.41 97.0 59.29 614.8 409.9 q1a5 
-3 -35 35 352.9 121.96 264.0 60.9 900.8 1251.4 q2a12 
-3 -17 18 586.3 347.3 502.0 96.1 1091.4 243.8 q2a3 
-3 -15 15 78.18 105.72 118.0 68.69 1046.9 254.0 q2a3 
-3 -13 12 365.27 124.62 125.0 65.24 1002.8 264.0 q2a3 
-3 -5 -5 1891.73 184.07 919.0 49.99 787.3 286.1 q2a2 
-3 -3 -11 1738.12 249.5 662.0 50.51 547.5 327.5 q1a2 
-3 -1 -19 523.08 173.46 279.0 45.59 555.1 236.0 q1a2 
-3 1 -55 -122.48 116.45 119.0 68.52 659.7 488.1 q1a5 
-3 1 -54 -413.25 178.81 192.0 75.74 671.9 492.3 q1a5 
-2 -40 41 59.36 96.37 96.0 56.24 881.8 1120.9 q2a12 
-2 -38 40 -70.57 107.13 103.0 58.17 903.7 1156.7 q2a12 
-2 -14 18 158.88 146.87 139.0 78.64 1070.2 294.8 q2a3 
-2 -12 15 230.95 126.73 164.0 65.16 1026.0 304.7 q2a3 
-2 -8 8 365.93 150.03 136.0 52.25 933.1 320.6 q2a2 
-2 -4 -1 2119.11 220.86 1078.0 62.94 819.9 329.6 q2a2 
-2 2 -63 -149.13 160.75 163.0 61.51 550.3 486.1 q1a4 
-1 -33 40 129.29 157.34 155.0 63.91 983.3 1209.0 q2a13 
-1 -25 34 370.23 176.84 193.0 105.97 1052.2 1328.5 q2a15 
-1 -19 28 -317.63 504.78 521.0 195.65 1094.5 1444.0 q2a15 
-1 3 -69 48.09 76.91 77.0 51.32 457.8 492.9 q1a4 
-1 3 -17 219.66 106.62 77.0 41.35 468.0 231.1 q1a2 
